f,ap,Tool_Wear,vc,Ra,Rz
0.115873519075495,0.415839342276592,0.631894927373269,408.333333333333,0.00157046017032012,0.00706707076644055
0.129343200442616,0.4101842918167,0.585328336378516,466.666666666667,0.00166740618028022,0.00750332781126099
0.118872868464259,0.393809125730618,0.751430729486361,291.666666666667,0.00170516884978992,0.00767325982405464
0.103637432382677,0.399403321916895,0.690518382006732,466.666666666667,0.00139284601257598,0.00626780705659192
0.129141103189731,0.381229963914189,0.507311522614155,408.333333333333,0.00169792032840004,0.00764064147780019
0.102962748999099,0.410143243981862,0.635716441036673,350,0.0014715466320469,0.00662195984421103
0.0916766498740538,0.336803653943806,0.634436037873936,466.666666666667,0.00124134725787131,0.00558606266042091
0.0843415848513467,0.424808578762448,0.966493076681376,175,0.0014460892659803,0.00650740169691135
0.111277353342332,0.316553241881905,0.635404478809742,466.666666666667,0.00144051813091161,0.00648233158910224
0.0815686909892182,0.485052077169558,0.896841488035873,525,0.00114529073850259,0.00515380832326167
0.119875428611417,0.391980852525615,0.61862724542663,408.333333333333,0.00160419676136364,0.00721888542613639
0.0946602638744181,0.40027618377627,0.810051883919314,408.333333333333,0.00133081336952573,0.00598866016286579
0.109826519136373,0.380146973402983,0.674910105893306,525,0.0014180091940234,0.0063810413731053
0.115838870892498,0.442768147332794,0.723733632598188,350,0.00162943656977049,0.0073324645639672
0.0890679562858641,0.319893501060559,0.939757132502235,233.333333333333,0.00138622061402585,0.00623799276311633
0.085968767558496,0.266495632684604,0.573627341668035,408.333333333333,0.00118301045224292,0.00532354703509316
0.103645379084128,0.372851136984803,0.589688712073696,291.666666666667,0.00151972889636528,0.00683878003364377
0.0981232394281886,0.269346149606199,0.57378199187348,350,0.00135764101143097,0.00610938455143935
0.121204975793578,0.288563497784285,0.603098757990087,525,0.00149265216883689,0.00671693475976599
0.0855026898762344,0.327297606019326,0.95546572407947,233.333333333333,0.00134472266927658,0.00605125201174459
0.100995525555932,0.339221053129776,0.552715677302269,408.333333333333,0.00137859594944646,0.00620368177250906
0.0979611279309918,0.404146582156481,0.989361466914282,525,0.00130201212989531,0.00585905458452889
